CustomerID,Count,Country,State,City,Zip Code,Lat Long,Latitude,Longitude,Senior Citizen,Tenure Months,Monthly Charges,Total Charges,Churn Label,target,Churn Score,CLTV,Churn Reason,Gender_Male,Partner_Yes,Dependents_Yes,Phone Service_Yes,Multiple Lines_No phone service,Multiple Lines_Yes,Internet Service_Fiber optic,Internet Service_No,Online Security_No internet service,Online Security_Yes,Online Backup_No internet service,Online Backup_Yes,Device Protection_No internet service,Device Protection_Yes,Tech Support_No internet service,Tech Support_Yes,Streaming TV_No internet service,Streaming TV_Yes,Streaming Movies_No internet service,Streaming Movies_Yes,Contract_One year,Contract_Two year,Paperless Billing_Yes,Payment Method_Credit card (automatic),Payment Method_Electronic check,Payment Method_Mailed check
8637-XJIVR,1,United States,California,Marina Del Rey,90292,"33.977468, -118.445475","33,977468","-118,445475",No,12,"78,95","927,35",Yes,1,86,5806,Lack of self-service on Website,False,False,True,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
0278-YXOOG,1,United States,California,Inglewood,90301,"33.956445, -118.358634","33,956445","-118,358634",No,5,"21,05","113,85",Yes,1,66,2604,Network reliability,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True
4598-XLKNJ,1,United States,California,Inglewood,90303,"33.936291, -118.332639","33,936291","-118,332639",Yes,25,"98,5","2514,5",Yes,1,88,5337,Limited range of services,False,True,True,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,True,False
3192-NQECA,1,United States,California,Santa Monica,90403,"34.031529, -118.491156","34,031529","-118,491156",No,68,110,"7611,85",Yes,1,86,5034,Lack of affordable download/upload speed,True,True,False,True,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,False
0486-HECZI,1,United States,California,Torrance,90504,"33.867257, -118.330794","33,867257","-118,330794",No,55,"96,75","5238,9",Yes,1,75,5154,Long distance charges,True,True,True,True,False,True,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False
4846-WHAFZ,1,United States,California,Whittier,90602,"33.972119, -118.020188","33,972119","-118,020188",Yes,37,"76,5","2868,15",Yes,1,67,2793,Extra data charges,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
5299-RULOA,1,United States,California,Whittier,90606,"33.976678, -118.065875","33,976678","-118,065875",No,10,"100,25","1064,65",Yes,1,87,5998,Price too high,False,True,True,True,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False
0404-SWRVG,1,United States,California,La Habra,90631,"33.940619, -117.9513","33,940619","-117,951300",No,3,"74,4","229,55",Yes,1,76,4415,Product dissatisfaction,True,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
4412-YLTKF,1,United States,California,Pico Rivera,90660,"33.989524, -118.089299","33,989524","-118,089299",Yes,27,"78,05","2135,5",Yes,1,95,4638,Service dissatisfaction,False,False,True,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False
6207-WIOLX,1,United States,California,Avalon,90704,"33.391181, -118.421305","33,391181","-118,421305",No,25,"58,6","1502,65",Yes,1,99,4190,Lack of self-service on Website,False,True,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,True,True,False,False
3091-FYHKI,1,United States,California,Harbor City,90710,"33.798266, -118.300237","33,798266","-118,300237",No,1,"35,45","35,45",Yes,1,80,2301,Network reliability,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False
2372-HWUHI,1,United States,California,Lakewood,90712,"33.840524, -118.148403","33,840524","-118,148403",No,2,"44,35","81,25",Yes,1,76,2570,Don't know,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0390-DCFDQ,1,United States,California,Los Alamitos,90720,"33.79499, -118.065591","33,794990","-118,065591",Yes,1,"70,45","70,45",Yes,1,76,3964,Don't know,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
4080-OGPJL,1,United States,California,San Pedro,90731,"33.736387, -118.284363","33,736387","-118,284363",No,8,"71,15","563,65",Yes,1,66,2662,Don't know,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False
2135-RXIHG,1,United States,California,Carson,90745,"33.822295, -118.26411","33,822295","-118,264110",No,1,"45,65","45,65",Yes,1,73,2600,Poor expertise of online support,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
3874-EQOEP,1,United States,California,Long Beach,90804,"33.783047, -118.1486","33,783047","-118,148600",No,7,95,"655,5",Yes,1,94,2786,Poor expertise of phone support,True,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True
0867-MKZVY,1,United States,California,Altadena,91001,"34.196837, -118.142236","34,196837","-118,142236",No,20,"82,4","1592,35",Yes,1,86,5719,Price too high,False,True,True,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
3376-BMGFE,1,United States,California,Monrovia,91016,"34.1528, -118.000482","34,152800","-118,000482",No,4,"70,9",273,Yes,1,75,4287,Product dissatisfaction,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
3445-HXXGF,1,United States,California,Sierra Madre,91024,"34.168686, -118.057505","34,168686","-118,057505",Yes,58,"45,3","2651,2",Yes,1,100,5444,Service dissatisfaction,True,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,True,False
1875-QIVME,1,United States,California,Tujunga,91042,"34.296574, -118.244839","34,296574","-118,244839",No,2,"104,4","242,8",Yes,1,83,4690,Lack of self-service on Website,False,True,True,True,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False
0691-JVSYA,1,United States,California,Pasadena,91103,"34.167465, -118.165327","34,167465","-118,165327",No,53,"94,85","5000,2",Yes,1,80,4328,Network reliability,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,True,False,False,False
2656-FMOKZ,1,United States,California,Pasadena,91106,"34.139402, -118.128658","34,139402","-118,128658",Yes,15,"74,45","1145,7",Yes,1,99,5717,Limited range of services,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
2070-FNEXE,1,United States,California,Pasadena,91107,"34.159007, -118.087353","34,159007","-118,087353",Yes,7,"76,45","503,6",Yes,1,81,4419,Lack of affordable download/upload speed,False,False,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6317-YPKDH,1,United States,California,Glendale,91202,"34.167926, -118.267539","34,167926","-118,267539",No,1,"29,95","29,95",Yes,1,95,4534,Long distance charges,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9367-WXLCH,1,United States,California,Glendale,91204,"34.136306, -118.26036","34,136306","-118,260360",No,8,"84,5","662,65",Yes,1,86,2152,Extra data charges,True,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1918-ZBFQJ,1,United States,California,Glendale,91206,"34.162515, -118.203869","34,162515","-118,203869",No,13,"79,25","1111,65",Yes,1,73,5142,Price too high,False,False,True,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False
1024-GUALD,1,United States,California,Glendale,91207,"34.182378, -118.262922","34,182378","-118,262922",No,1,"24,8","24,8",Yes,1,94,4851,Product dissatisfaction,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
2472-OVKUP,1,United States,California,Canoga Park,91304,"34.224377, -118.632656","34,224377","-118,632656",No,6,91,531,Yes,1,94,2283,Service dissatisfaction,True,True,True,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,True,False
1285-OKIPP,1,United States,California,Mission Hills,91345,"34.266389, -118.459744","34,266389","-118,459744",No,1,"79,9","79,9",Yes,1,98,3394,Lack of self-service on Website,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
7825-ECJRF,1,United States,California,Santa Clarita,91350,"34.502432, -118.41459","34,502432","-118,414590",No,19,"106,6","1934,45",Yes,1,71,3764,Network reliability,False,False,True,True,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False
7841-TZDMQ,1,United States,California,Sun Valley,91352,"34.231053, -118.338307","34,231053","-118,338307",No,2,46,"84,5",Yes,1,76,2667,Don't know,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
9408-SSNVZ,1,United States,California,Stevenson Ranch,91381,"34.364153, -118.615583","34,364153","-118,615583",No,4,"70,15","268,35",Yes,1,67,2227,Don't know,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
0742-MOABM,1,United States,California,Panorama City,91402,"34.223768, -118.445461","34,223768","-118,445461",No,4,"50,05","179,35",Yes,1,82,3394,Don't know,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2232-DMLXU,1,United States,California,Van Nuys,91411,"34.17847, -118.459472","34,178470","-118,459472",No,1,"55,2","55,2",Yes,1,81,3638,Poor expertise of online support,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
8937-RDTHP,1,United States,California,Burbank,91504,"34.213049, -118.317651","34,213049","-118,317651",No,1,"84,6","84,6",Yes,1,66,2484,Poor expertise of phone support,True,False,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True
1251-KRREG,1,United States,California,North Hollywood,91601,"34.1692, -118.372498","34,169200","-118,372498",No,2,"54,4","114,1",Yes,1,81,2556,Price too high,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True
0094-OIFMO,1,United States,California,North Hollywood,91605,"34.207295, -118.400022","34,207295","-118,400022",Yes,11,95,"1120,3",Yes,1,85,5980,Product dissatisfaction,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False
9947-OTFQU,1,United States,California,Covina,91722,"34.097345, -117.906736","34,097345","-117,906736",Yes,15,"74,4","1074,3",Yes,1,86,4616,Service dissatisfaction,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
0322-YINQP,1,United States,California,Covina,91723,"34.084747, -117.886844","34,084747","-117,886844",No,1,"48,55","48,55",Yes,1,77,5687,Lack of self-service on Website,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
4629-NRXKX,1,United States,California,El Monte,91731,"34.079934, -118.046695","34,079934","-118,046695",No,2,"70,4","147,15",Yes,1,75,5687,Network reliability,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
9514-JDSKI,1,United States,California,El Monte,91732,"34.074492, -118.01462","34,074492","-118,014620",Yes,1,"40,2","40,2",Yes,1,65,5828,Limited range of services,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
4959-JOSRX,1,United States,California,La Puente,91744,"34.031441, -117.936436","34,031441","-117,936436",No,2,"44,6","80,55",Yes,1,99,4884,Lack of affordable download/upload speed,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
7273-TEFQD,1,United States,California,La Puente,91746,"34.038983, -117.991372","34,038983","-117,991372",Yes,3,"41,15","132,2",Yes,1,96,2314,Long distance charges,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False
3606-TWKGI,1,United States,California,Rowland Heights,91748,"33.976753, -117.897367","33,976753","-117,897367",Yes,13,"106,9","1364,3",Yes,1,84,2494,Extra data charges,True,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,True,False
6323-AYBRX,1,United States,California,Ontario,91762,"34.057256, -117.667677","34,057256","-117,667677",No,59,"19,35","1099,6",Yes,1,83,5084,Price too high,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True
4385-GZQXV,1,United States,California,Ontario,91764,"34.074087, -117.605618","34,074087","-117,605618",Yes,16,"94,45","1511,2",Yes,1,81,3810,Product dissatisfaction,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,True,False
6366-ZGQGL,1,United States,California,Pomona,91766,"34.042286, -117.756106","34,042286","-117,756106",No,1,"24,8","24,8",Yes,1,73,5087,Service dissatisfaction,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5940-AHUHD,1,United States,California,Pomona,91768,"34.067932, -117.785168","34,067932","-117,785168",No,1,"70,6","70,6",Yes,1,69,3338,Lack of self-service on Website,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
6432-TWQLB,1,United States,California,Rosemead,91770,"34.065108, -118.082791","34,065108","-118,082791",No,5,"85,4","401,1",Yes,1,80,3676,Network reliability,True,True,False,True,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False
4484-GLZOU,1,United States,California,San Dimas,91773,"34.102119, -117.815532","34,102119","-117,815532",No,52,"105,05","5624,85",Yes,1,65,4839,Don't know,False,True,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,True,False
9512-UIBFX,1,United States,California,West Covina,91791,"34.061634, -117.893169","34,061634","-117,893169",No,18,"95,15","1779,95",Yes,1,68,4643,Don't know,True,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True
5583-SXDAG,1,United States,California,Alhambra,91803,"34.074736, -118.145959","34,074736","-118,145959",No,1,70,70,Yes,1,97,4094,Don't know,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
3488-PGMQJ,1,United States,California,Alpine,91901,"32.827184, -116.703729","32,827184","-116,703729",Yes,8,"74,5","606,55",Yes,1,80,4345,Poor expertise of online support,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
3580-REOAC,1,United States,California,Bonita,91902,"32.67117, -117.00232","32,671170","-117,002320",No,10,"44,85","435,4",Yes,1,83,4061,Poor expertise of phone support,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
7534-BFESC,1,United States,California,Boulevard,91905,"32.677097, -116.304991","32,677097","-116,304991",Yes,24,"76,1","1712,7",Yes,1,98,2018,Price too high,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
6390-DSAZX,1,United States,California,Guatay,91931,"32.857946, -116.561917","32,857946","-116,561917",No,1,"73,6","73,6",Yes,1,80,2565,Product dissatisfaction,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
8098-LLAZX,1,United States,California,Jacumba,91934,"32.649787, -116.2237","32,649787","-116,223700",Yes,4,"95,45","396,1",Yes,1,85,3677,Service dissatisfaction,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False
0265-EDXBD,1,United States,California,Mount Laguna,91948,"32.830852, -116.444601","32,830852","-116,444601",Yes,32,"74,9","2303,35",Yes,1,69,4105,Lack of self-service on Website,True,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
7563-BIUPC,1,United States,California,Borrego Springs,92004,"33.200369, -116.192313","33,200369","-116,192313",No,5,"80,6","415,55",Yes,1,69,5715,Network reliability,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False
2321-OMBXY,1,United States,California,Carlsbad,92009,"33.098018, -117.258203","33,098018","-117,258203",No,38,"80,3","3058,65",Yes,1,81,2071,Limited range of services,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,True,False,False,True,False,False
2840-XANRC,1,United States,California,Del Mar,92014,"32.948262, -117.256086","32,948262","-117,256086",Yes,24,"93,15","2231,05",Yes,1,73,2212,Lack of affordable download/upload speed,True,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False
5020-ZSTTY,1,United States,California,El Cajon,92020,"32.79697, -116.969082","32,796970","-116,969082",Yes,54,"82,45","4350,1",Yes,1,83,4149,Long distance charges,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,True,True,False,False,False,False,False
5804-LEPIM,1,United States,California,Escondido,92029,"33.079834, -117.134275","33,079834","-117,134275",Yes,2,"70,35","139,05",Yes,1,73,2671,Extra data charges,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
0122-OAHPZ,1,United States,California,Oceanside,92057,"33.254497, -117.285879","33,254497","-117,285879",No,7,"73,85","511,25",Yes,1,67,2473,Price too high,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
2868-SNELZ,1,United States,California,Pala,92059,"33.384345, -117.072619","33,384345","-117,072619",No,2,"80,6","155,8",Yes,1,92,2683,Product dissatisfaction,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
4322-RCYMT,1,United States,California,Palomar Mountain,92060,"33.309852, -116.823091","33,309852","-116,823091",No,68,"75,8","5293,95",Yes,1,81,4903,Service dissatisfaction,True,True,False,True,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,True,True,False,True,False,False,False
6680-NENYN,1,United States,California,Pauma Valley,92061,"33.313828, -116.940501","33,313828","-116,940501",No,43,"104,6","4759,85",Yes,1,91,5250,Lack of self-service on Website,False,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,True,False,True,False
1343-EHPYB,1,United States,California,Ranchita,92066,"33.215251, -116.53633","33,215251","-116,536330",No,63,"103,4",6603,Yes,1,98,4352,Network reliability,True,True,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,True,False
2034-GDRCN,1,United States,California,Valley Center,92082,"33.25283, -116.986079","33,252830","-116,986079",No,2,"90,4","168,2",Yes,1,76,4157,Don't know,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False
0219-YTZUE,1,United States,California,San Diego,92103,"32.747484, -117.166877","32,747484","-117,166877",No,4,"84,8","371,9",Yes,1,73,4939,Don't know,True,True,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False
0623-IIHUG,1,United States,California,San Diego,92104,"32.741499, -117.127409","32,741499","-117,127409",Yes,21,"41,9","840,1",Yes,1,97,4778,Don't know,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False
4572-DVCGN,1,United States,California,San Diego,92105,"32.741859, -117.090353","32,741859","-117,090353",No,10,"80,25",846,Yes,1,85,3598,Poor expertise of online support,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
9057-MSWCO,1,United States,California,San Diego,92108,"32.774046, -117.142454","32,774046","-117,142454",Yes,27,"30,75","805,1",Yes,1,91,2927,Poor expertise of phone support,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
1010-DIAUQ,1,United States,California,San Diego,92116,"32.765299, -117.122565","32,765299","-117,122565",No,5,"96,5","492,55",Yes,1,98,5383,Price too high,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False
0259-GBZSH,1,United States,California,San Diego,92122,"32.85723, -117.209774","32,857230","-117,209774",No,2,"85,65","181,5",Yes,1,73,3878,Product dissatisfaction,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False
9601-BRXPO,1,United States,California,San Diego,92129,"32.961064, -117.134917","32,961064","-117,134917",No,25,"104,95","2566,5",Yes,1,66,3642,Service dissatisfaction,False,True,False,True,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,False,False
6905-NIQIN,1,United States,California,San Diego,92154,"32.578103, -117.012975","32,578103","-117,012975",No,1,"50,65","50,65",Yes,1,76,2431,Don't know,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
5167-ZFFMM,1,United States,California,Indio,92201,"33.713891, -116.237257","33,713891","-116,237257",No,1,"90,85","90,85",Yes,1,81,3424,Network reliability,True,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,True,False,False
